"Reference","Value","Footprint","Qty","LCSC Part"
"C1,C2,C3,C5,C6,C7","10uF","Capacitor_SMD:C_0805_2012Metric","6","C1713"
"C4,C8","0.1uF","Capacitor_SMD:C_0805_2012Metric","2","C1711"
"CN1","JST S2B-PH-SM4-TB(LF)(SN)","easyeda2kicad:CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN","1","C295747"
"D1","SK54A-LTP","Diode_SMD:D_SMA","1","C669017"
"J2","HCTL HC-TYPE-C-16P-01A","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","1","C2894897"
"LED1","FC-2012HRK-620D","easyeda2kicad:LED0805-R-RD","1","C84256"
"LED2","WS2812B-2020","easyeda2kicad:LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020","1","C965555"
"Q1","DMP2045UQ-7","easyeda2kicad:SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR","1","C5157511"
"R1,R2","100K","Resistor_SMD:R_0805_2012Metric","2","C25611"
"R3,R4,R7,R8,R9,R10","5.1K","Resistor_SMD:R_0805_2012Metric","6","C26023"
"R5,R6","470K","Resistor_SMD:R_0805_2012Metric","2","C17709"
"R11","160","Resistor_SMD:R_0805_2012Metric","1","C25269"
"R12","2k","Resistor_SMD:R_0805_2012Metric","1","C17604"
"SW1,SW2","TS-1088-AR02016","easyeda2kicad:SW-SMD_L3.9-W3.0-P4.45","2","C720477"
"U1","RT9080-33GJ5","easyeda2kicad:TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL","1","C841192"
"U2","ESP32-S3-MINI-1","RF_Module:ESP32-S2-MINI-1","1","C2913206"
"U3","LIS3DHTR_C15134","easyeda2kicad:LGA-16_L3.0-W3.0-P0.50-TL","1","C15134"
"U4","MCP73831T-2ACI/OT","easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","1","C424093"
